number,name,buy,sell,diff
2019-12-02 00:00:00,2883,開發金,4810,6947,-2137
2019-12-02 00:00:00,4803,VHQ-KY,3,163,-160
2019-12-02 00:00:00,8110,華東,299,84,215
2019-12-02 00:00:00,2105,正新,609,1302,-693
2019-12-02 00:00:00,8436,大江,173,27,146
2019-12-02 00:00:00,6505,台塑化,457,872,-415
2019-12-02 00:00:00,3008,大立光,228,59,169
2019-12-02 00:00:00,2823,中壽,3517,2270,1247
2019-12-02 00:00:00,3707,漢磊,33,358,-325
2019-12-02 00:00:00,8021,尖點,241,111,130
2019-12-02 00:00:00,8926,台汽電,88,200,-112
2019-12-02 00:00:00,3665,貿聯-KY,41,847,-806
2019-12-02 00:00:00,5521,工信,1733,1341,392
2019-12-02 00:00:00,4947,昂寶-KY,74,11,63
2019-12-02 00:00:00,2897,王道銀行,3,172,-169
2019-12-02 00:00:00,6643,M31,101,22,79
2019-12-02 00:00:00,5905,南仁湖,394,43,351
2019-12-02 00:00:00,1312,國喬,113,2031,-1918
2019-12-02 00:00:00,6235,華孚,70,9,61
2019-12-02 00:00:00,6683,雍智科技,121,28,93
2019-12-02 00:00:00,2449,京元電子,2545,2224,321
2019-12-02 00:00:00,3293,鈊象,26,180,-154
2019-12-02 00:00:00,9935,慶豐富,1191,185,1006
2019-12-02 00:00:00,00637L,元大滬深300正2,8114,1052,7062
2019-12-02 00:00:00,00655L,國泰中國A50正2,532,1,531
2019-12-02 00:00:00,3062,建漢,163,297,-134
2019-12-02 00:00:00,9939,宏全,148,71,77
2019-12-02 00:00:00,2915,潤泰全,309,671,-362
2019-12-02 00:00:00,1752,南光,399,20,379
2019-12-02 00:00:00,4142,國光生,767,996,-229
2019-12-02 00:00:00,00639,富邦深100,455,7,448
2019-12-02 00:00:00,3042,晶技,5452,1498,3954
2019-12-02 00:00:00,3048,益登,610,155,455
2019-12-02 00:00:00,3035,智原,111,638,-527
2019-12-02 00:00:00,3563,牧德,116,222,-106
2019-12-02 00:00:00,8155,博智,22,285,-263
2019-12-02 00:00:00,00633L,富邦上証正2,569,166,403
2019-12-02 00:00:00,3576,聯合再生,284,571,-287
2019-12-02 00:00:00,3019,亞光,83,316,-233
2019-12-02 00:00:00,2892,第一金,3780,2569,1211
2019-12-02 00:00:00,0061,元大寶滬深,114,0,114
2019-12-02 00:00:00,1210,大成,86,856,-770
2019-12-02 00:00:00,1305,華夏,85,384,-299
2019-12-02 00:00:00,6180,橘子,61,376,-315
2019-12-02 00:00:00,3324,雙鴻,671,182,489
2019-12-02 00:00:00,6112,聚碩,8,119,-111
2019-12-02 00:00:00,2371,大同,4132,3029,1103
2019-12-02 00:00:00,2637,慧洋-KY,29,183,-154
2019-12-02 00:00:00,2356,英業達,1886,1574,312
2019-12-02 00:00:00,2498,宏達電,1534,788,746
2019-12-02 00:00:00,4746,台耀,342,16,326
2019-12-02 00:00:00,2377,微星,423,639,-216
2019-12-02 00:00:00,2426,鼎元,44,234,-190
2019-12-02 00:00:00,2023,燁輝,22,151,-129
2019-12-02 00:00:00,2002,中鋼,4601,4911,-310
2019-12-02 00:00:00,2882,國泰金,4165,2952,1213
2019-12-02 00:00:00,4977,眾達-KY,436,81,355
2019-12-02 00:00:00,3260,威剛,11,556,-545
2019-12-02 00:00:00,5388,中磊,113,459,-346
2019-12-02 00:00:00,6290,良維,266,193,73
2019-12-02 00:00:00,6284,佳邦,203,142,61
2019-12-02 00:00:00,2885,元大金,3553,6909,-3356
2019-12-02 00:00:00,2881,富邦金,4227,4586,-359
2019-12-02 00:00:00,5243,乙盛-KY,0,201,-201
2019-12-02 00:00:00,6488,環球晶,1196,635,561
2019-12-02 00:00:00,3052,夆典,326,75,251
2019-12-02 00:00:00,9910,豐泰,290,849,-559
2019-12-02 00:00:00,6244,茂迪,0,141,-141
2019-12-02 00:00:00,1464,得力,125,322,-197
2019-12-02 00:00:00,1409,新纖,7,159,-152
2019-12-02 00:00:00,6404,通訊-KY,98,0,98
2019-12-02 00:00:00,3003,健和興,482,1156,-674
2019-12-02 00:00:00,2492,華新科,1794,756,1038
2019-12-02 00:00:00,1447,力鵬,11,177,-166
2019-12-02 00:00:00,8086,宏捷科,1057,1334,-277
2019-12-02 00:00:00,6116,彩晶,1340,13235,-11895
2019-12-02 00:00:00,6409,旭隼,99,27,72
2019-12-02 00:00:00,3224,三顧,64,0,64
2019-12-02 00:00:00,3583,辛耘,99,204,-105
2019-12-02 00:00:00,3661,世芯-KY,891,557,334
2019-12-02 00:00:00,2421,建準,1176,413,763
2019-12-02 00:00:00,4167,展旺,187,28,159
2019-12-02 00:00:00,2913,農林,42,190,-148
2019-12-02 00:00:00,1795,美時,119,486,-367
2019-12-02 00:00:00,4915,致伸,1026,317,709
2019-12-02 00:00:00,3596,智易,497,1181,-684
2019-12-02 00:00:00,1435,中福,128,0,128
2019-12-02 00:00:00,2419,仲琦,79,11,68
2019-12-02 00:00:00,6462,神盾,167,418,-251
2019-12-02 00:00:00,1319,東陽,155,646,-491
2019-12-02 00:00:00,2360,致茂,594,417,177
2019-12-02 00:00:00,5203,訊連,482,145,337
2019-12-02 00:00:00,1216,統一,9672,10335,-663
2019-12-02 00:00:00,2368,金像電,4697,1399,3298
2019-12-02 00:00:00,8213,志超,262,374,-112
2019-12-02 00:00:00,8415,大國鋼,8,160,-152
2019-12-02 00:00:00,5498,凱崴,283,57,226
2019-12-02 00:00:00,4942,嘉彰,391,106,285
2019-12-02 00:00:00,00631L,元大台灣50正2,352,0,352
2019-12-02 00:00:00,3041,揚智,62,299,-237
2019-12-02 00:00:00,2337,旺宏,10902,1676,9226
2019-12-02 00:00:00,2399,映泰,327,14,313
2019-12-02 00:00:00,2316,楠梓電,1177,645,532
2019-12-02 00:00:00,8105,凌巨,567,1678,-1111
2019-12-02 00:00:00,8040,九暘,496,46,450
2019-12-02 00:00:00,6121,新普,1357,585,772
2019-12-02 00:00:00,5457,宣德,679,1451,-772
2019-12-02 00:00:00,2303,聯電,22633,31973,-9340
2019-12-02 00:00:00,1308,亞聚,26,167,-141
2019-12-02 00:00:00,9933,中鼎,274,847,-573
2019-12-02 00:00:00,2880,華南金,1906,1348,558
2019-12-02 00:00:00,4105,東洋,81,4,77
2019-12-02 00:00:00,4961,天鈺,260,136,124
2019-12-02 00:00:00,2409,友達,22381,38532,-16151
2019-12-02 00:00:00,00632R,元大台灣50反1,621,3942,-3321
2019-12-02 00:00:00,4137,麗豐-KY,287,635,-348
2019-12-02 00:00:00,2439,美律,597,80,517
2019-12-02 00:00:00,4147,中裕,81,384,-303
2019-12-02 00:00:00,8112,至上,15,149,-134
2019-12-02 00:00:00,2354,鴻準,1703,515,1188
2019-12-02 00:00:00,1604,聲寶,19,302,-283
2019-12-02 00:00:00,2891,中信金,12591,5630,6961
2019-12-02 00:00:00,3029,零壹,461,251,210
2019-12-02 00:00:00,1101,台泥,2973,4527,-1554
2019-12-02 00:00:00,8150,南茂,2239,1297,942
2019-12-02 00:00:00,6213,聯茂,795,560,235
2019-12-02 00:00:00,4919,新唐,182,597,-415
2019-12-02 00:00:00,4976,佳凌,22,155,-133
2019-12-02 00:00:00,2504,國產,272,2003,-1731
2019-12-02 00:00:00,6612,奈米醫材,152,16,136
2019-12-02 00:00:00,3673,TPK-KY,480,352,128
2019-12-02 00:00:00,3043,科風,0,236,-236
2019-12-02 00:00:00,1104,環泥,8,184,-176
2019-12-02 00:00:00,9907,統一實,39,185,-146
2019-12-02 00:00:00,6251,定穎,1297,1969,-672
2019-12-02 00:00:00,2328,廣宇,340,189,151
2019-12-02 00:00:00,3532,台勝科,29,205,-176
2019-12-02 00:00:00,4107,邦特,102,35,67
2019-12-02 00:00:00,5483,中美晶,770,890,-120
2019-12-02 00:00:00,6411,晶焱,171,69,102
2019-12-02 00:00:00,3682,亞太電,1834,585,1249
2019-12-02 00:00:00,3443,創意,79,204,-125
2019-12-02 00:00:00,2474,可成,3652,1582,2070
2019-12-02 00:00:00,5347,世界,1732,2090,-358
2019-12-02 00:00:00,5876,上海商銀,1701,4094,-2393
2019-12-02 00:00:00,3221,台嘉碩,12,794,-782
2019-12-02 00:00:00,2609,陽明,1022,36,986
2019-12-02 00:00:00,1514,亞力,1,162,-161
2019-12-02 00:00:00,2481,強茂,171,565,-394
2019-12-02 00:00:00,2905,三商,297,31,266
2019-12-02 00:00:00,3034,聯詠,2583,2286,297
2019-12-02 00:00:00,1592,英瑞-KY,30,167,-137
2019-12-02 00:00:00,2308,台達電,3105,2879,226
2019-12-02 00:00:00,2103,台橡,505,110,395
2019-12-02 00:00:00,6188,廣明,168,1030,-862
2019-12-02 00:00:00,2207,和泰車,247,83,164
2019-12-02 00:00:00,2301,光寶科,2493,2698,-205
2019-12-02 00:00:00,6005,群益證,681,1926,-1245
2019-12-02 00:00:00,5289,宜鼎,188,53,135
2019-12-02 00:00:00,1201,味全,104,228,-124
2019-12-02 00:00:00,5607,遠雄港,433,1165,-732
2019-12-02 00:00:00,2027,大成鋼,1636,593,1043
2019-12-02 00:00:00,2457,飛宏,19,226,-207
2019-12-02 00:00:00,5904,寶雅,98,31,67
2019-12-02 00:00:00,2329,華泰,384,1295,-911
2019-12-02 00:00:00,2049,上銀,1875,647,1228
2019-12-02 00:00:00,4968,立積,1405,985,420
2019-12-02 00:00:00,3037,欣興,2388,12359,-9971
2019-12-02 00:00:00,1303,南亞,1643,1205,438
2019-12-02 00:00:00,6173,信昌電,190,18,172
2019-12-02 00:00:00,3227,原相,1014,63,951
2019-12-02 00:00:00,6438,迅得,255,33,222
2019-12-02 00:00:00,5880,合庫金,1725,2002,-277
2019-12-02 00:00:00,2345,智邦,2483,1025,1458
