number,name,buy,sell,diff
2019-12-02 00:00:00,5269,祥碩,305,0,305
2019-12-02 00:00:00,2458,義隆,0,289,-289
2019-12-02 00:00:00,2428,興勤,15,0,15
2019-12-02 00:00:00,6669,緯穎,5,40,-35
2019-12-02 00:00:00,2606,裕民,3,0,3
2019-12-02 00:00:00,8016,矽創,21,0,21
2019-12-02 00:00:00,3479,安勤,0,119,-119
2019-12-02 00:00:00,6213,聯茂,40,35,5
2019-12-02 00:00:00,3008,大立光,16,0,16
2019-12-02 00:00:00,6121,新普,0,8,-8
2019-12-02 00:00:00,6510,精測,5,20,-15
2019-12-02 00:00:00,2912,統一超,70,0,70
2019-12-02 00:00:00,8150,南茂,0,23,-23
2019-12-02 00:00:00,6176,瑞儀,96,0,96
2019-12-02 00:00:00,8155,博智,20,152,-132
2019-12-02 00:00:00,6414,樺漢,0,18,-18
2019-12-02 00:00:00,8454,富邦媒,1,0,1
2019-12-02 00:00:00,8131,福懋科,1,0,1
2019-12-02 00:00:00,5880,合庫金,41,0,41
2019-12-02 00:00:00,4958,臻鼎-KY,86,270,-184
2019-12-02 00:00:00,2313,華通,3,470,-467
2019-12-02 00:00:00,2845,遠東銀,10,0,10
2019-12-02 00:00:00,4943,康控-KY,0,143,-143
2019-12-02 00:00:00,2441,超豐,1,0,1
2019-12-02 00:00:00,3665,貿聯-KY,251,0,251
2019-12-02 00:00:00,2356,英業達,12,0,12
2019-12-02 00:00:00,2809,京城銀,4,0,4
2019-12-02 00:00:00,2637,慧洋-KY,3,0,3
2019-12-02 00:00:00,8163,達方,1,0,1
2019-12-02 00:00:00,9941,裕融,1,0,1
2019-12-02 00:00:00,2337,旺宏,1526,0,1526
2019-12-02 00:00:00,2344,華邦電,112,0,112
2019-12-02 00:00:00,2891,中信金,104,0,104
2019-12-02 00:00:00,1504,東元,6,0,6
2019-12-02 00:00:00,2634,漢翔,3,0,3
2019-12-02 00:00:00,2317,鴻海,2,0,2
2019-12-02 00:00:00,2618,長榮航,57,0,57
2019-12-02 00:00:00,2357,華碩,48,0,48
2019-12-02 00:00:00,9921,巨大,1,0,1
2019-12-02 00:00:00,3005,神基,1,0,1
2019-12-02 00:00:00,2408,南亞科,67,0,67
2019-12-02 00:00:00,6577,勁豐,3,0,3
2019-12-02 00:00:00,3218,大學光,0,70,-70
2019-12-02 00:00:00,2615,萬海,7,0,7
2019-12-02 00:00:00,2442,新美齊,1,0,1
2019-12-02 00:00:00,2603,長榮,15,0,15
2019-12-02 00:00:00,1101,台泥,1,0,1
2019-12-02 00:00:00,2456,奇力新,152,0,152
2019-12-02 00:00:00,2360,致茂,0,96,-96
2019-12-02 00:00:00,1314,中石化,8,0,8
2019-12-02 00:00:00,2412,中華電,24,0,24
2019-12-02 00:00:00,2633,台灣高鐵,8,0,8
2019-12-02 00:00:00,3324,雙鴻,0,17,-17
2019-12-02 00:00:00,4919,新唐,1,0,1
2019-12-02 00:00:00,5347,世界,227,0,227
2019-12-02 00:00:00,2303,聯電,3326,0,3326
2019-12-02 00:00:00,2454,聯發科,162,115,47
2019-12-02 00:00:00,2892,第一金,40,0,40
2019-12-02 00:00:00,5274,信驊,0,2,-2
2019-12-02 00:00:00,2448,晶電,0,80,-80
2019-12-02 00:00:00,1434,福懋,5,0,5
2019-12-02 00:00:00,0050,元大台灣50,0,47,-47
2019-12-02 00:00:00,2801,彰銀,31,0,31
2019-12-02 00:00:00,2395,研華,2,0,2
2019-12-02 00:00:00,6239,力成,2,0,2
2019-12-02 00:00:00,6271,同欣電,440,0,440
2019-12-02 00:00:00,3045,台灣大,17,0,17
2019-12-02 00:00:00,3152,璟德,97,0,97
2019-12-02 00:00:00,6679,鈺太,26,0,26
2019-12-02 00:00:00,1590,亞德客-KY,34,0,34
2019-12-02 00:00:00,4942,嘉彰,0,107,-107
2019-12-02 00:00:00,2352,佳世達,6,0,6
2019-12-02 00:00:00,2231,為升,25,2,23
2019-12-02 00:00:00,3141,晶宏,0,10,-10
2019-12-02 00:00:00,3037,欣興,0,2067,-2067
2019-12-02 00:00:00,3231,緯創,9,0,9
2019-12-02 00:00:00,2880,華南金,38,0,38
2019-12-02 00:00:00,2330,台積電,294,77,217
2019-12-02 00:00:00,9958,世紀鋼,0,150,-150
2019-12-02 00:00:00,2387,精元,0,466,-466
2019-12-02 00:00:00,4105,東洋,1,0,1
2019-12-02 00:00:00,8299,群聯,1,50,-49
2019-12-02 00:00:00,3017,奇鋐,0,1070,-1070
2019-12-02 00:00:00,2006,東和鋼鐵,3,0,3
2019-12-02 00:00:00,6147,頎邦,172,0,172
2019-12-02 00:00:00,5534,長虹,1,0,1
2019-12-02 00:00:00,6257,矽格,0,695,-695
2019-12-02 00:00:00,2888,新光金,38,0,38
2019-12-02 00:00:00,2207,和泰車,2,0,2
2019-12-02 00:00:00,1210,大成,762,0,762
2019-12-02 00:00:00,3529,力旺,0,10,-10
2019-12-02 00:00:00,2897,王道銀行,8,0,8
2019-12-02 00:00:00,3003,健和興,100,0,100
2019-12-02 00:00:00,3217,優群,7,0,7
2019-12-02 00:00:00,2890,永豐金,34,0,34
2019-12-02 00:00:00,1227,佳格,2,0,2
2019-12-02 00:00:00,8462,柏文,5,26,-21
2019-12-02 00:00:00,6451,訊芯-KY,0,106,-106
2019-12-02 00:00:00,9904,寶成,9,194,-185
2019-12-02 00:00:00,2377,微星,5,0,5
2019-12-02 00:00:00,3036,文曄,502,0,502
2019-12-02 00:00:00,6525,捷敏-KY,0,50,-50
2019-12-02 00:00:00,2002,中鋼,50,0,50
2019-12-02 00:00:00,5871,中租-KY,4,0,4
2019-12-02 00:00:00,2385,群光,4,26,-22
2019-12-02 00:00:00,2474,可成,3,1762,-1759
2019-12-02 00:00:00,4904,遠傳,10,0,10
2019-12-02 00:00:00,3035,智原,0,235,-235
2019-12-02 00:00:00,1476,儒鴻,1,82,-81
2019-12-02 00:00:00,8926,台汽電,1,0,1
2019-12-02 00:00:00,2379,瑞昱,12,92,-80
2019-12-02 00:00:00,1736,喬山,46,0,46
2019-12-02 00:00:00,1569,濱川,233,0,233
2019-12-02 00:00:00,3406,玉晶光,0,140,-140
2019-12-02 00:00:00,2886,兆豐金,42,0,42
2019-12-02 00:00:00,3034,聯詠,163,435,-272
2019-12-02 00:00:00,2834,臺企銀,21,0,21
2019-12-02 00:00:00,3532,台勝科,2,0,2
2019-12-02 00:00:00,2520,冠德,430,0,430
2019-12-02 00:00:00,8463,潤泰材,0,207,-207
2019-12-02 00:00:00,8046,南電,0,913,-913
2019-12-02 00:00:00,6643,M31,15,110,-95
2019-12-02 00:00:00,2301,光寶科,0,441,-441
2019-12-02 00:00:00,6274,台燿,77,0,77
2019-12-02 00:00:00,6438,迅得,278,0,278
2019-12-02 00:00:00,2049,上銀,76,0,76
2019-12-02 00:00:00,6138,茂達,45,56,-11
2019-12-02 00:00:00,6278,台表科,332,20,312
2019-12-02 00:00:00,2723,美食-KY,1,0,1
2019-12-02 00:00:00,4968,立積,5,420,-415
2019-12-02 00:00:00,3596,智易,930,0,930
2019-12-02 00:00:00,3481,群創,3088,0,3088
2019-12-02 00:00:00,6568,宏觀,8,0,8
2019-12-02 00:00:00,5263,智崴,0,50,-50
2019-12-02 00:00:00,8358,金居,479,0,479
2019-12-02 00:00:00,6505,台塑化,36,0,36
2019-12-02 00:00:00,2882,國泰金,91,0,91
2019-12-02 00:00:00,1402,遠東新,16,0,16
2019-12-02 00:00:00,2883,開發金,49,0,49
2019-12-02 00:00:00,1301,台塑,29,0,29
2019-12-02 00:00:00,6538,倉和,0,211,-211
2019-12-02 00:00:00,6224,聚鼎,0,135,-135
2019-12-02 00:00:00,2439,美律,16,0,16
2019-12-02 00:00:00,3227,原相,20,0,20
2019-12-02 00:00:00,2481,強茂,0,429,-429
2019-12-02 00:00:00,2324,仁寶,13,0,13
2019-12-02 00:00:00,2881,富邦金,32,230,-198
2019-12-02 00:00:00,8112,至上,1,0,1
2019-12-02 00:00:00,3443,創意,0,226,-226
2019-12-02 00:00:00,2887,台新金,33,0,33
2019-12-02 00:00:00,3023,信邦,7,0,7
